iter	Passed	Remaining
0	48	14485
1	94	14093
2	123	12258
3	158	11700
4	204	12092
5	256	12544
6	303	12694
7	360	13141
8	417	13511
9	461	13383
10	511	13436
11	581	13947
12	642	14178
13	731	14948
14	797	15149
15	841	14936
16	909	15133
17	959	15028
18	1015	15018
19	1062	14871
20	1114	14811
21	1159	14647
22	1231	14833
23	1309	15057
24	1375	15128
25	1438	15161
26	1502	15194
27	1579	15340
28	1623	15175
29	1678	15109
30	1726	14981
31	1804	15112
32	1864	15084
33	1922	15039
34	1989	15067
35	2048	15022
36	2092	14874
37	2160	14898
38	2218	14844
39	2274	14784
40	2336	14760
41	2405	14774
42	2479	14819
43	2535	14752
44	2592	14690
45	2655	14663
46	2716	14620
47	2773	14560
48	2826	14478
49	2885	14428
50	2932	14317
51	2992	14271
52	3052	14227
53	3116	14196
54	3169	14116
55	3223	14045
56	3271	13948
57	3318	13846
58	3358	13717
59	3401	13607
60	3466	13582
61	3529	13548
62	3611	13584
63	3683	13581
64	3753	13569
65	3801	13477
66	3853	13400
67	3914	13354
68	3977	13315
69	4041	13278
70	4101	13229
71	4161	13177
72	4208	13086
73	4257	13003
74	4302	12908
75	4350	12823
76	4394	12725
77	4440	12639
78	4478	12528
79	4507	12394
80	4558	12325
81	4601	12234
82	4653	12167
83	4702	12092
84	4760	12040
85	4816	11985
86	4868	11919
87	4926	11868
88	4982	11812
89	5024	11724
90	5078	11663
91	5125	11587
92	5170	11509
93	5212	11424
94	5264	11359
95	5310	11283
96	5362	11223
97	5412	11156
98	5468	11103
99	5514	11029
100	5556	10947
101	5603	10878
102	5646	10798
103	5724	10789
104	5788	10750
105	5834	10679
106	5888	10622
107	5940	10560
108	5993	10503
109	6036	10426
110	6095	10379
111	6156	10334
112	6208	10274
113	6255	10206
114	6299	10134
115	6343	10062
116	6391	9996
117	6438	9931
118	6494	9877
119	6543	9815
120	6587	9744
121	6638	9685
122	6695	9635
123	6749	9579
124	6836	9571
125	6909	9542
126	6947	9463
127	6999	9405
128	7049	9344
129	7112	9301
130	7160	9237
131	7211	9177
132	7257	9112
133	7309	9054
134	7353	8987
135	7394	8916
136	7444	8856
137	7493	8796
138	7527	8718
139	7570	8651
140	7620	8593
141	7673	8537
142	7717	8473
143	7785	8434
144	7848	8389
145	7897	8330
146	7941	8266
147	7988	8203
148	8042	8150
149	8103	8103
150	8155	8047
151	8200	7984
152	8249	7925
153	8291	7860
154	8345	7807
155	8392	7746
156	8450	7696
157	8495	7635
158	8547	7580
159	8584	7511
160	8633	7453
161	8682	7396
162	8733	7340
163	8794	7292
164	8844	7236
165	8892	7178
166	8940	7119
167	8990	7063
168	9045	7011
169	9094	6954
170	9145	6899
171	9204	6849
172	9246	6787
173	9300	6735
174	9341	6672
175	9381	6609
176	9431	6553
177	9477	6496
178	9538	6447
179	9584	6389
180	9632	6333
181	9681	6277
182	9727	6219
183	9781	6166
184	9836	6114
185	9897	6066
186	9956	6016
187	10014	5966
188	10065	5911
189	10115	5856
190	10161	5799
191	10212	5744
192	10278	5698
193	10325	5641
194	10366	5581
195	10422	5530
196	10477	5478
197	10528	5423
198	10576	5367
199	10626	5313
200	10676	5258
201	10717	5199
202	10765	5144
203	10816	5090
204	10866	5035
205	10914	4980
206	10956	4922
207	11005	4867
208	11056	4814
209	11099	4756
210	11156	4705
211	11212	4654
212	11265	4601
213	11320	4549
214	11371	4495
215	11414	4438
216	11460	4383
217	11506	4328
218	11559	4275
219	11607	4220
220	11656	4166
221	11710	4114
222	11768	4063
223	11815	4008
224	11857	3952
225	11905	3898
226	11962	3846
227	12014	3794
228	12062	3739
229	12108	3685
230	12167	3634
231	12218	3581
232	12270	3528
233	12325	3476
234	12373	3422
235	12412	3366
236	12466	3313
237	12504	3257
238	12553	3204
239	12597	3149
240	12636	3093
241	12690	3041
242	12741	2988
243	12795	2936
244	12844	2883
245	12897	2831
246	12948	2778
247	12999	2725
248	13048	2672
249	13105	2621
250	13168	2570
251	13214	2517
252	13255	2462
253	13307	2410
254	13356	2357
255	13410	2304
256	13462	2252
257	13518	2200
258	13570	2148
259	13617	2095
260	13662	2041
261	13712	1988
262	13764	1936
263	13813	1883
264	13863	1831
265	13909	1777
266	13952	1724
267	14003	1672
268	14068	1621
269	14114	1568
270	14155	1514
271	14212	1463
272	14259	1410
273	14311	1358
274	14357	1305
275	14409	1253
276	14461	1200
277	14511	1148
278	14557	1095
279	14606	1043
280	14655	990
281	14702	938
282	14747	885
283	14792	833
284	14838	780
285	14874	728
286	14914	675
287	14969	623
288	15016	571
289	15065	519
290	15112	467
291	15161	415
292	15210	363
293	15263	311
294	15317	259
295	15367	207
296	15417	155
297	15463	103
298	15509	51
299	15559	0
